name,opening_date,opening_gross,opening_theaters,studio,theaters,total_gross,url
Let Him Have It,12/6/1991,"$5,088",1,FL,10,"$88,686",/movies/?id=lethimhaveit.htm
Let It Come Down: The Life of Paul Bowles,4/30/1999,"$5,869",1,Zeit.,1,"$5,869",/movies/?id=letitcomedown.htm
Let it Rain,6/18/2010,"$16,290",2,IFC,6,"$111,844",/movies/?id=letitrain.htm
Let It Ride,8/18/1989,"$1,925,049","1,191",Par.,"1,191","$4,973,285",/movies/?id=letitride.htm
Let It Snow,TBD,n/a,n/a,Uni.,n/a,n/a,/movies/?id=letitsnow.htm
Let Me In,10/1/2010,"$5,147,479","2,020",Over.,"2,042","$12,134,935",/movies/?id=lettherightonein09.htm
Let My People Go!,1/11/2013,"$2,236",1,Zeit.,3,"$18,529",/movies/?id=letmypeoplego.htm
Let the Bullets Fly,3/2/2012,"$11,287",5,Vari.,10,"$63,012",/movies/?id=letthebulletsfly.htm
Let the Fire Burn,10/2/2013,"$5,226",1,Zeit.,9,"$64,489",/movies/?id=letthefireburn.htm
Let the Right One In (2008),10/24/2008,"$49,295",4,Magn.,53,"$2,122,065",/movies/?id=lettherightonein.htm
Let there be Light,10/27/2017,n/a,n/a,ADC,n/a,n/a,/movies/?id=lettherebelight.htm
Let's Be Cops,8/13/2014,"$17,813,722","3,094",Fox,"3,140","$82,390,774",/movies/?id=letsbecops.htm
Let's Get Frank,7/14/2004,"$3,465",1,Rnd.,1,"$10,440",/movies/?id=letsgetfrank.htm
Let's Get Harry,10/31/1986,n/a,n/a,TriS,n/a,"$140,980",/movies/?id=letsgetharry.htm
Let's Get Married,4/3/2015,"$180,929",39,CL,39,"$462,918",/movies/?id=letsgetmarried.htm
Let's Go to Prison,11/17/2006,"$2,220,050","1,495",Uni.,"1,495","$4,630,045",/movies/?id=letsgotoprison.htm
Let's Spend the Night Together,2/11/1983,"$1,319,050",475,Emb,475,"$3,821,199",/movies/?id=letsspendthenighttogether.htm
Lethal Weapon,3/6/1987,"$6,829,949","1,256",WB,"1,420","$65,207,127",/movies/?id=lethalweapon.htm
Lethal Weapon 2,7/7/1989,"$20,388,800","1,803",WB,"1,830","$147,253,986",/movies/?id=lethalweapon2.htm
Lethal Weapon 3,5/15/1992,"$33,243,086","2,510",WB,"2,568","$144,731,527",/movies/?id=lethalweapon3.htm
Lethal Weapon 4,7/10/1998,"$34,048,124","3,117",WB,"3,117","$130,444,603",/movies/?id=lethalweapon4.htm
Letter to Brezhnev,5/2/1986,n/a,n/a,Circ,n/a,n/a,/movies/?id=lettertobrezhnev.htm
A Letter to Momo,7/23/2014,"$4,596",1,GK,7,"$71,712",/movies/?id=lettertomomo.htm
A Letter to True,9/8/2004,"$4,395",1,Zeit.,1,"$15,635",/movies/?id=lettertotrue.htm
The Letter: An American Town and the 'Somali Invasion',2/9/2005,$789,1,Arab,1,"$1,479",/movies/?id=letter05.htm
The Letters,12/4/2015,"$700,683",886,Free,886,"$1,647,416",/movies/?id=theletters.htm
Letters from Baghdad,6/2/2017,"$19,725",2,Vita.,20,"$332,228",/movies/?id=lettersfrombaghdad.htm
Letters from Iwo Jima,12/20/2006,"$89,097",5,WB,781,"$13,756,082",/movies/?id=lettersfromiwojima.htm
Letters to God,4/9/2010,"$1,088,873",897,Viv.,897,"$2,848,578",/movies/?id=letterstogod.htm
Letters to Juliet,5/14/2010,"$13,540,486","2,968",Sum.,"2,975","$53,032,453",/movies/?id=letterstojuliet.htm
Level Five,8/15/2014,"$7,161",2,Icar.,2,"$26,750",/movies/?id=levelfive.htm
Level Up,8/26/2016,n/a,27,FB,27,"$1,469",/movies/?id=levelup.htm
The Levelling,3/24/2017,$160,1,Mont.,4,"$3,040",/movies/?id=thelevelling.htm
Leviathan,3/17/1989,"$5,029,164","1,393",MGM,"1,393","$15,704,614",/movies/?id=leviathan.htm
Leviathan (2013),3/1/2013,"$10,000",1,CGld,5,"$76,211",/movies/?id=leviathan2013.htm
Leviathan (2014),12/25/2014,"$15,200",2,SPC,80,"$1,092,800",/movies/?id=leviathan2014.htm
Levitated Mass,9/5/2014,"$4,589",1,FRun,3,"$16,086",/movies/?id=levitatedmass.htm
Levity,4/4/2003,"$30,599",10,SPC,17,"$209,695",/movies/?id=levity.htm
Li'l Quinquin,1/2/2015,"$3,204",1,KL,2,"$7,192",/movies/?id=lilquinquin.htm
Liam,9/21/2001,"$44,399",7,Lions,55,"$1,016,021",/movies/?id=liam.htm
Lianna,1/18/1983,n/a,n/a,MGM,n/a,"$1,530,839",/movies/?id=lianna.htm
Liar Liar,3/21/1997,"$31,423,025","2,845",Uni.,"2,909","$181,410,615",/movies/?id=liarliar.htm
Liar's Autobiography,11/2/2012,"$5,102",4,BSM,4,"$5,102",/movies/?id=liarsautobiography.htm
Liars Club,9/13/2002,"$13,623",1,Odys,1,"$23,792",/movies/?id=liarsclub.htm
Libeled Lady,10/9/1936,n/a,n/a,MGM,n/a,n/a,/movies/?id=libeledlady.htm
Liberal Arts,9/14/2012,"$27,435",4,IFC,31,"$327,345",/movies/?id=liberalarts.htm
The Liberator,10/3/2014,"$69,992",76,Cohen,77,"$113,067",/movies/?id=liberator.htm
The Libertine,11/25/2005,"$27,804",2,Wein.,819,"$4,835,065",/movies/?id=libertine.htm
Liberty Heights,11/19/1999,"$95,247",4,WB,115,"$3,736,868",/movies/?id=libertyheights.htm
Licence to Kill,7/14/1989,"$8,774,776","1,575",UA,"1,587","$34,667,015",/movies/?id=licensetokill.htm
License to Drive,7/8/1988,"$3,850,934","1,223",Fox,"1,225","$22,433,275",/movies/?id=licensetodrive.htm
License to Wed,7/3/2007,"$10,422,258","2,604",WB,"2,715","$43,799,818",/movies/?id=licensetowed.htm
The Lie,11/18/2011,"$3,000",1,Scre.,1,"$3,000",/movies/?id=lie2011.htm
Lie Down with Dogs,6/30/1995,"$8,812",2,Mira.,9,"$240,280",/movies/?id=liedownwithdogs.htm
Liebestraum,9/13/1991,n/a,n/a,MGM,n/a,"$133,645",/movies/?id=liebestraum.htm
Life,4/16/1999,"$20,414,775","2,594",Uni.,"2,613","$63,886,029",/movies/?id=life.htm
Life,12/4/2015,n/a,12,Cdgm.,12,n/a,/movies/?id=life2015.htm
Life & Times of Hank Greenberg,1/12/2000,"$21,675",1,Cow.,31,"$1,712,385",/movies/?id=hankgreenberg.htm
Life (2017),3/24/2017,"$12,501,936","3,146",Sony,"3,146","$30,234,022",/movies/?id=life2017.htm
Life After Beth,8/15/2014,"$15,843",2,A24,30,"$88,273",/movies/?id=lifeafterbeth.htm
Life and Debt,6/16/2001,"$1,494",1,NYer,4,"$263,107",/movies/?id=lifeanddebt.htm
The Life and Times of Allen Ginsberg,2/17/1994,"$17,112",2,FRun,2,"$22,692*",/movies/?id=lifeandtimesofallenginsberg.htm
The Life and Times of Allen Ginsberg (Re-issue),8/18/2004,"$1,475",1,NYer,1,"$4,490*",/movies/?id=allenginsberg04.htm
The Life Aquatic with Steve Zissou,12/10/2004,"$113,085",2,BV,"1,105","$24,020,403",/movies/?id=lifeaquatic.htm
Life as a House,10/26/2001,"$294,056",29,NL,"1,288","$15,667,270",/movies/?id=lifeasahouse.htm
Life as We Know It,10/8/2010,"$14,506,464","3,150",WB,"3,150","$53,374,681",/movies/?id=lifeasweknowit.htm
The Life Before Her Eyes,4/18/2008,"$20,220",8,Magn.,48,"$303,439",/movies/?id=lifebeforehereyes.htm
Life During Wartime,7/23/2010,"$30,507",1,IFC,20,"$281,447",/movies/?id=lifeduringwartime.htm
Life in a Day,7/29/2011,"$45,202",11,NGE,19,"$252,788",/movies/?id=lifeinaday.htm
Life in a Walk,9/2/2015,n/a,n/a,Gathr,1,"$16,557",/movies/?id=lifeinawalk.htm
Life in a... METRO,5/11/2007,"$62,477",35,UTV,35,"$150,212",/movies/?id=lifeinametro.htm
Life Is Beautiful,10/23/1998,"$118,920",6,Mira.,"1,136","$57,247,384*",/movies/?id=lifeisbeautiful.htm
Life Is Beautiful (dubbed),11/6/1998,"$63,934",15,Mira.,31,"$315,880*",/movies/?id=lifeisbeautifuldubbed.htm
Life Is Sweet,10/25/1991,"$12,856",1,Oct.,27,"$1,516,414",/movies/?id=lifeissweet.htm
Life Itself,7/4/2014,"$131,411",23,Magn.,100,"$810,454",/movies/?id=lifeitself.htm
A Life Less Ordinary,10/24/1997,"$2,007,279","1,207",Fox,"1,208","$4,366,722",/movies/?id=lifelessordinary.htm
Life of a King,1/17/2014,"$4,231",16,MNE,16,"$6,547",/movies/?id=lifeofaking.htm
Life of Crime,8/29/2014,"$104,300",37,RAtt.,37,"$265,452",/movies/?id=lifeofcrime.htm
The Life of David Gale,2/21/2003,"$7,117,225","2,002",Uni.,"2,003","$19,955,598",/movies/?id=lifeofdavidgale.htm
Life of Pi,11/21/2012,"$22,451,514","2,927",Fox,"2,946","$124,987,023",/movies/?id=lifeofpi.htm
The Life of Reilly,11/9/2007,"$2,798",1,ReelD,8,"$38,960",/movies/?id=lifeofreilly.htm
Life of Riley,10/24/2014,n/a,n/a,KL,1,"$11,616",/movies/?id=lifeofriley.htm
Life of the Party,5/11/2018,n/a,n/a,WB (NL),n/a,n/a,/movies/?id=lifeoftheparty.htm
Life Partner,8/14/2009,"$49,898",26,Stu18,26,"$110,240",/movies/?id=lifepartner.htm
Life Partners,12/5/2014,"$2,665",3,Magn.,3,"$8,265",/movies/?id=lifepartners2014.htm
Life Stinks,7/26/1991,"$1,920,215",865,MGM,865,"$4,102,526",/movies/?id=lifestinks.htm
Life with Mikey,6/4/1993,"$3,606,279","1,366",BV,"1,719","$12,440,858",/movies/?id=lifewithmikey.htm
Life's a Breeze,9/19/2014,"$1,361",2,Magn.,2,"$3,450",/movies/?id=lifesabreeze.htm
"Life, Above All",7/15/2011,"$13,788",5,SPC,18,"$134,461",/movies/?id=lifeaboveall.htm
"Life, Animated",7/1/2016,"$21,883",3,Orch.,60,"$255,388",/movies/?id=lifeanimated.htm
"Life, or Something Like It",4/26/2002,"$6,219,234","2,606",Fox,"2,609","$14,448,589",/movies/?id=lifeorsomethinglikeit.htm
Lifeboat,1/12/1944,n/a,n/a,Fox,n/a,n/a,/movies/?id=lifeboat.htm
Lifeforce,6/21/1985,"$4,209,136","1,526",TriS,"1,526","$11,603,545",/movies/?id=lifeforce.htm
The Lifeguard,8/30/2013,n/a,n/a,Scre.,n/a,n/a,/movies/?id=lifeguard13.htm
Lifeguard,2/20/1976,n/a,n/a,Par.,n/a,"$5,424,178",/movies/?id=lifeguard.htm
The Light Between Oceans,9/2/2016,"$4,765,838","1,500",BV,"1,500","$12,545,979",/movies/?id=lightbetweenoceans.htm
Light in the Piazza,2/7/1962,n/a,n/a,MGM,n/a,n/a,/movies/?id=lightinthepiazza.htm
Light it Up,11/10/1999,"$2,408,613","1,219",Fox,"1,252","$5,985,690",/movies/?id=lightitup.htm
Light of Day,2/6/1987,"$3,536,309","1,041",TriS,"1,041","$10,489,617",/movies/?id=lightofday.htm
Light Sleeper,8/21/1992,"$46,302",3,FL,37,"$1,050,861",/movies/?id=lightsleeper.htm
Light Years,1/29/1988,"$48,665",7,Mira.,7,"$370,698",/movies/?id=lightyears.htm
The Lighthorsemen,4/8/1988,"$23,645",16,Cinc,16,"$33,779",/movies/?id=lighthorsemen.htm
Lightning in a Bottle,10/22/2004,"$5,300",2,SPC,21,"$201,711",/movies/?id=lightninginabottle.htm
Lightning Jack,3/11/1994,"$5,401,743","1,710",Sav.,"1,733","$16,821,273",/movies/?id=lightningjack.htm
Lights in the Dusk,6/13/2007,"$2,757",1,Strand,1,"$14,056",/movies/?id=lightsinthedusk.htm
Lights Out,7/22/2016,"$21,688,103","2,818",WB (NL),"2,835","$67,268,835",/movies/?id=newline0116.htm
Like Crazy,10/28/2011,"$123,140",4,ParV,162,"$3,395,391",/movies/?id=likecrazy.htm
Like Crazy (2017),5/5/2017,"$5,799",2,Strand,13,"$107,362",/movies/?id=likecrazy2017.htm
Like Dandelion Dust,9/24/2010,"$77,960",25,BCR,60,"$352,810",/movies/?id=likedandeliondust.htm
"Like Father, Like Son",10/2/1987,"$7,189,452","1,167",TriS,"1,277","$34,377,585",/movies/?id=likefatherlikeson.htm
"Like Father, Like Son (2014)",1/17/2014,"$16,044",2,IFC,35,"$334,616",/movies/?id=fatherson.htm
Like for Likes,2/26/2016,"$25,107",18,CJ,18,"$50,839",/movies/?id=likeforlikes.htm
Like Mike,7/3/2002,"$12,179,420","2,410",Fox,"2,436","$51,432,760",/movies/?id=likemike.htm
Like Someone in Love,2/15/2013,"$21,813",3,IFC,23,"$239,056",/movies/?id=likesomeoneinlove.htm
"Like Sunday, Like Rain",3/6/2015,"$1,082",2,Mont.,6,"$28,208",/movies/?id=likesundaylikerain.htm
Like Water,6/1/2012,n/a,n/a,Cdgm.,n/a,n/a,/movies/?id=likewater.htm
Like Water for Chocolate,2/19/1993,"$23,600",2,Mira.,64,"$21,665,468",/movies/?id=likewaterforchocolate.htm
Lila & Eve,7/17/2015,"$21,806",22,Gold.,22,"$38,263",/movies/?id=lilaandeve.htm
Lila Lila,5/23/2014,n/a,n/a,Crnth,n/a,n/a,/movies/?id=lilalila.htm
Lila Says,6/24/2005,"$12,599",2,IDP,6,"$121,365",/movies/?id=lilasays.htm
Lilies,10/10/1997,"$28,781",4,Turb,7,"$301,548",/movies/?id=lilies.htm
Liliom,3/17/1935,n/a,n/a,Fox,n/a,n/a,/movies/?id=liliom.htm
Lillian Russell,5/15/1940,n/a,n/a,Fox,n/a,n/a,/movies/?id=lillianrussell.htm
Lilo & Stitch,6/21/2002,"$35,260,212","3,191",BV,"3,222","$145,794,338",/movies/?id=lilostitch.htm
Lilting,9/26/2014,"$1,567",1,Strand,9,"$27,054",/movies/?id=lilting.htm
Lilya 4Ever,4/18/2003,"$33,731",4,NM,7,"$184,023",/movies/?id=lilya4ever.htm
Limbo,6/4/1999,"$139,634",15,Sony,111,"$2,160,710",/movies/?id=limbo.htm
The Limehouse Golem,TBD,n/a,n/a,N/A,n/a,n/a,/movies/?id=thelimehousegolem.htm
Limelight,9/23/2011,"$9,259",1,Magn.,4,"$60,335",/movies/?id=limelight.htm
The Limey,10/8/1999,"$187,122",17,Art.,105,"$3,204,663",/movies/?id=limey.htm
Limitless,3/18/2011,"$18,907,302","2,756",Rela.,"2,838","$79,249,455",/movies/?id=darkfields.htm
The Limits of Control,5/1/2009,"$55,820",3,Focus,27,"$426,688",/movies/?id=limitsofcontrol.htm
Lincoln,11/9/2012,"$944,308",11,BV,"2,293","$182,207,973",/movies/?id=lincoln.htm
The Lincoln Lawyer,3/18/2011,"$13,206,453","2,707",LGF,"2,707","$58,009,200",/movies/?id=lincolnlawyer.htm
The Line King: Al Hirschfeld,9/27/1996,"$5,677",1,Castle,7,"$50,605",/movies/?id=lineking.htm
The Linguini Incident,5/1/1992,n/a,n/a,AcdE,n/a,n/a,/movies/?id=linguiniincident.htm
Link,10/3/1986,"$660,874",435,Can.,435,"$1,720,450",/movies/?id=link.htm
Linsanity,10/4/2013,"$99,462",9,KE,16,"$302,645",/movies/?id=linsanity.htm
Lion,11/25/2016,"$123,360",4,Wein.,"1,802","$51,728,731",/movies/?id=lion.htm
The Lion in Winter,10/30/1968,n/a,n/a,Emb,n/a,n/a*,/movies/?id=lioninwinter.htm
The Lion in Winter (2016 re-release),12/16/2016,"$5,339",2,Rialto,2,"$18,177*",/movies/?id=lioninwinter2016.htm
The Lion King,6/15/1994,"$1,586,753",2,BV,"2,624","$312,855,561*",/movies/?id=lionking.htm
The Lion King (IMAX),12/27/2002,"$1,825,849",66,BV,66,"$15,686,215*",/movies/?id=lionkingimax.htm
The Lion King (in 3D),9/16/2011,"$30,151,614","2,330",BV,"2,340","$94,242,001*",/movies/?id=lionking3d.htm
The Lion King (Live Action),7/19/2019,n/a,n/a,BV,n/a,n/a,/movies/?id=lionkingliveaction.htm
The Lion of Judah,6/3/2011,n/a,81,RM,81,n/a,/movies/?id=lionofjudah.htm
Lion's Den,7/3/2009,"$3,484",1,Strand,1,"$14,739",/movies/?id=lionsden.htm
Lionheart,1/11/1991,"$7,094,552","1,462",Uni.,"1,485","$24,078,196",/movies/?id=lionheart.htm
Lionheart: The Children's Crusade,8/14/1987,n/a,n/a,Orion,n/a,n/a,/movies/?id=lionheart87.htm
Lions for Lambs,11/9/2007,"$6,702,434","2,215",UA,"2,216","$15,002,854",/movies/?id=lionsforlambs.htm
Lipstick,4/2/1976,n/a,n/a,Par.,n/a,"$8,328,666",/movies/?id=lipstick.htm
Lipstick and Dynamite,3/25/2005,"$4,046",1,Koch,3,"$26,073",/movies/?id=lipstickanddynamite.htm
Lisa,4/20/1990,"$1,119,895",287,UA,287,"$4,347,648",/movies/?id=lisa.htm
The List (2007),8/10/2007,"$22,823",1,MTop,4,"$138,814",/movies/?id=list.htm
Listen to Me,5/5/1989,"$1,789,759","1,306",Col.,"1,306","$4,299,023",/movies/?id=listentome.htm
Listen to Me Marlon,7/29/2015,"$30,068",2,SHO,38,"$425,831",/movies/?id=listentomemarlon.htm
Listen Up Philip,10/17/2014,"$23,284",2,Trib.,30,"$200,126",/movies/?id=listenupphilip.htm
Listen Up: The Lives of Quincy Jones,10/5/1990,"$99,740",26,WB,n/a,"$776,699",/movies/?id=listenup.htm
Listening,9/11/2015,n/a,n/a,YNGM,n/a,n/a,/movies/?id=listening.htm
"Literally, Right Before Aaron",9/29/2017,n/a,n/a,Scre.,n/a,n/a,/movies/?id=literallyrightbeforeaaron.htm
Little Accidents,1/16/2015,"$8,649",17,Ampl.,17,"$10,071",/movies/?id=littleaccidents.htm
Little Ashes,5/8/2009,"$73,394",12,Reg.,16,"$481,586",/movies/?id=littleashes.htm
The Little Bedroom,9/26/2014,"$2,981",1,CLS,3,"$7,440",/movies/?id=littlebedroom.htm
Little Big League,7/1/1994,"$3,105,618","1,527",Col.,"1,606","$12,267,790",/movies/?id=littlebigleague.htm
Little Big Man,12/14/1970,n/a,n/a,NGP,n/a,"$31,559,552",/movies/?id=littlebigman.htm
Little Birds,8/29/2012,"$4,574",1,MNE,2,"$17,739",/movies/?id=littlebirds.htm
A Little Bit of Heaven,5/4/2012,"$10,011",11,MNE,11,"$15,375",/movies/?id=littlebitofheaven.htm
A Little Bit of Soul,8/6/1999,n/a,n/a,SPHE,n/a,n/a,/movies/?id=littlebitofsoul.htm
Little Black Book,8/6/2004,"$7,075,217","2,445",SonR,"2,445","$20,698,668",/movies/?id=littleblackbook.htm
Little Boy,4/24/2015,"$2,750,356","1,045",ORF,"1,045","$6,485,961",/movies/?id=littleboy.htm
Little Boy Blue,5/29/1998,n/a,n/a,Castle,n/a,"$12,958",/movies/?id=littleboyblue.htm
Little Buddha,5/27/1994,"$873,983",126,Mira.,139,"$4,858,139",/movies/?id=littlebuddha.htm
A Little Chaos,6/26/2015,"$181,791",83,Focus,87,"$558,173",/movies/?id=alittlechaos.htm
Little Chenier,1/18/2008,"$37,318",17,Slow,17,"$87,939",/movies/?id=littlechenier.htm
Little Children,10/6/2006,"$97,953",5,NL,115,"$5,463,019",/movies/?id=littlechildren.htm
Little Darlings,3/21/1980,n/a,n/a,Par.,n/a,"$34,326,249",/movies/?id=littledarlings.htm
The Little Death,6/26/2015,"$3,118",2,Magn.,4,"$18,238",/movies/?id=littledeath.htm
Little Dorrit,10/21/1988,n/a,n/a,Can.,n/a,"$1,025,228",/movies/?id=littledorrit.htm
The Little Drummer Girl,10/19/1984,"$2,632,719",820,WB,820,"$7,828,841",/movies/?id=littledrummergirl.htm
Little England,5/17/2015,"$5,775",1,Crnth,1,"$12,077",/movies/?id=littleengland.htm
Little Fish,2/24/2006,"$6,127",1,First,1,"$8,148",/movies/?id=littlefish.htm
Little Fockers,12/22/2010,"$30,833,665","3,536",Uni.,"3,675","$148,438,600",/movies/?id=meetthefockerssequel.htm
Little Fugitive (2013 re-release),2/1/2013,"$9,040",1,APD/C,2,"$29,505",/movies/?id=littlefugitive.htm
A Little Game,TBD,n/a,n/a,Focus,n/a,n/a,/movies/?id=littlegame.htm
Little Giants,10/14/1994,"$4,778,029","2,022",WB,"2,022","$19,306,362",/movies/?id=littlegiants.htm
Little Girl (La Pivellina),9/2/2011,$526,1,FRun,1,"$1,350",/movies/?id=littlegirl.htm
The Little Girl Who Lives Down the Lane,11/27/1976,n/a,n/a,AIP,n/a,n/a,/movies/?id=littlegirlwholivesdownthelane.htm
A Little Help,7/22/2011,"$44,870",24,Free,24,"$96,868",/movies/?id=alittlehelp.htm
The Little Hours,6/30/2017,"$56,676",2,G&S,114,"$1,644,500",/movies/?id=thelittlehours.htm
"Little Indian, Big City",1996,n/a,n/a,Dis.,n/a,"$722,182",/movies/?id=littleindianbigcity.htm
Little Man,7/14/2006,"$21,613,176","2,533",SonR,"2,537","$58,645,052",/movies/?id=littleman.htm
Little Man Tate,10/11/1991,"$230,106",7,Orion,"1,012","$25,010,896",/movies/?id=littlemantate.htm
Little Manhattan,9/30/2005,"$36,397",2,Fox,35,"$385,373",/movies/?id=littlemanhattan.htm
Little Men,5/8/1998,"$77,924",111,Leg.,111,"$104,255",/movies/?id=littlemen.htm
Little Men (2016),8/5/2016,"$30,368",2,Magn.,61,"$702,537",/movies/?id=littlemen2016.htm
The Little Mermaid,11/17/1989,"$6,031,914",994,BV,"1,533","$84,355,863*",/movies/?id=littlemermaid.htm
The Little Mermaid (3D),TBD,n/a,n/a,N/A,n/a,n/a*,/movies/?id=littlemermaid3d.htm
The Little Mermaid (Re-issue),11/14/1997,"$9,814,520","2,054",BV,"2,057","$27,187,616*",/movies/?id=littlemermaid98.htm
The Little Minister,12/28/1934,n/a,n/a,RKO,n/a,n/a,/movies/?id=littleminister.htm
Little Miss Marker,3/21/1980,"$853,173",472,Uni.,n/a,"$6,321,392",/movies/?id=littlemissmarker.htm
Little Miss Sunshine,7/26/2006,"$370,998",7,FoxS,"1,602","$59,891,098",/movies/?id=littlemisssunshine.htm
Little Monsters,8/25/1989,"$253,834",179,UA,179,"$793,775",/movies/?id=littlemonsters.htm
Little Nemo: Adventures in Slumberland,8/21/1992,"$407,695",579,Hemd,579,"$1,368,000",/movies/?id=littlenemo.htm
Little Nicky,11/10/2000,"$16,063,904","2,910",NL,"2,910","$39,464,775",/movies/?id=littlenicky.htm
Little Nikita,3/18/1988,"$866,398",376,Col.,376,"$1,733,070",/movies/?id=littlenikita.htm
Little Odessa,5/19/1995,n/a,n/a,FL,n/a,"$1,095,885",/movies/?id=littleodessa.htm
The Little Prince,2/12/2016,"$116,927",52,EOne,163,"$1,339,152",/movies/?id=thelittleprince.htm
A Little Princess,5/12/1995,"$28,612",3,WB,"1,342","$10,015,449",/movies/?id=littleprincess.htm
The Little Princess,3/10/1939,n/a,n/a,Fox,n/a,n/a,/movies/?id=littleprincess39.htm
The Little Rascals,8/5/1994,"$10,028,065","1,726",Uni.,"1,927","$52,125,282",/movies/?id=littlerascals.htm
A Little Romance,4/27/1979,n/a,n/a,Orion,n/a,n/a,/movies/?id=littleromance.htm
Little Secrets,8/23/2002,"$191,747",366,IDP,366,"$405,792",/movies/?id=littlesecrets.htm
A Little Sex,4/2/1982,"$1,030,070",500,Uni.,550,"$2,370,376",/movies/?id=littlesex.htm
Little Shop of Horrors,12/19/1986,"$3,659,884",866,WB,"1,183","$38,748,395",/movies/?id=littleshopofhorrors.htm
The Little Stranger,8/31/2018,n/a,n/a,Focus,n/a,n/a,/movies/?id=thelittlestranger.htm
The Little Thief,1989,n/a,n/a,Mira.,n/a,"$1,055,416",/movies/?id=littlethief.htm
The Little Traitor,10/23/2009,"$2,330",1,N/A,5,"$402,088",/movies/?id=thelittletraitor.htm
The Little Vampire,10/27/2000,"$5,719,627","2,009",NL,"2,009","$13,572,400",/movies/?id=littlevampire.htm
Little Vera,4/14/1989,"$23,950",1,IFEX,23,"$1,262,598",/movies/?id=littlevera.htm
Little Voice,12/4/1998,"$93,722",6,Mira.,215,"$4,611,784",/movies/?id=littlevoice.htm
Little White Lies,8/24/2012,"$25,654",3,MPI,14,"$206,088",/movies/?id=littlewhitelies.htm
Little Women (1933),11/16/1933,n/a,n/a,RKO,n/a,n/a,/movies/?id=littlewomen33.htm
Little Women (1994),12/21/1994,"$2,411,247","1,503",Sony,"1,579","$50,083,616",/movies/?id=littlewomen.htm
Littlerock,8/12/2011,n/a,1,Vari.,3,"$17,309",/movies/?id=littlerock.htm
Liv & Ingmar,12/13/2013,"$5,451",2,Jan.,2,"$10,347",/movies/?id=livingmar.htm
Live and Let Die,6/27/1973,n/a,n/a,UA,n/a,"$35,377,836",/movies/?id=liveandletdie.htm
Live Another Day,9/16/2016,n/a,n/a,Dalton,n/a,n/a,/movies/?id=liveanotherday.htm
Live By Night,12/25/2016,"$33,336",4,WB,"2,822","$10,378,555",/movies/?id=livebynight.htm
"Live Fast, Die Young",10/24/2008,"$9,841",1,RivR,1,"$18,335",/movies/?id=livefastdieyoung.htm
Live Flesh,1/16/1998,n/a,n/a,MGM,n/a,"$1,713,459",/movies/?id=liveflesh.htm
Live Freaky! Die Freaky!,1/27/2006,"$11,290",17,Wells,17,"$11,290",/movies/?id=livefreakydiefreaky.htm
Live Free or Die,3/30/2007,"$8,875",5,Think,5,"$13,836",/movies/?id=livefreeordie.htm
Live Free or Die Hard,6/27/2007,"$33,369,559","3,408",Fox,"3,411","$134,529,403",/movies/?id=diehard4.htm
Live from New York!,6/12/2015,n/a,25,Abr.,25,n/a,/movies/?id=livefromnewyork.htm
Live in Maid,7/18/2007,"$15,581",1,FSC,6,"$200,433",/movies/?id=liveinmaid.htm
Live Nude Girls,12/8/1995,n/a,n/a,Rep.,n/a,"$23,808",/movies/?id=livenudegirls.htm
"Live Nude Girls, Unite!",10/6/2000,n/a,n/a,FRun,n/a,"$84,706",/movies/?id=livenudegirlsunite.htm
Live Wire,5/1/1992,n/a,n/a,NL,n/a,n/a,/movies/?id=livewire.htm
The Lives of Others,2/9/2007,"$213,589",9,SPC,259,"$11,286,112",/movies/?id=livesofothers.htm
Livin' Large!,9/20/1991,"$2,129,257",825,Gold.,825,"$5,467,959",/movies/?id=livinlarge.htm
The Living,4/3/2015,$74,1,Mont.,4,"$5,514",/movies/?id=living2015.htm
The Living Daylights,7/31/1987,"$11,051,284","1,728",UA,"1,728","$51,185,897",/movies/?id=livingdaylights.htm
The Living End,8/14/1992,"$43,715",2,Oct.,17,"$692,585",/movies/?id=livingend.htm
Living in a Big Way,6/10/1947,n/a,n/a,MGM,n/a,n/a,/movies/?id=livinginabigway.htm
Living in Emergency,6/4/2010,"$21,905",7,Truly,7,"$32,208",/movies/?id=livinginemergency.htm
Living in Oblivion,7/14/1995,"$47,965",2,SPC,2,"$1,111,790",/movies/?id=livinginoblivion.htm
Living is Easy with Eyes Closed,6/27/2014,"$11,600",1,Outs,1,"$11,600",/movies/?id=livingiseasy.htm
Living It Up,7/23/1954,n/a,n/a,Par.,n/a,n/a,/movies/?id=livingitup.htm
Living Life,4/8/2005,"$4,270",1,FmC.,1,"$9,064",/movies/?id=livinglife.htm
Living Out Loud,10/30/1998,"$169,747",8,NL,"1,087","$12,905,901",/movies/?id=livingoutloud.htm
The Living Wake,5/14/2010,"$3,821",1,Mang.,1,"$12,232",/movies/?id=livingwake.htm
The Lizzie McGuire Movie,5/2/2003,"$17,338,755","2,825",BV,"2,825","$42,734,455",/movies/?id=lizziemcguiremovie.htm
"Lo and Behold, Reveries of the Connected World",8/19/2016,"$114,273",39,Magn.,51,"$594,912",/movies/?id=loandbehold.htm
Loaded,4/12/1996,"$12,071",2,Mira.,7,"$44,231",/movies/?id=loaded.htm
Loaded Weapon 1,2/5/1993,"$9,202,722","1,989",NL,"2,015","$27,979,399",/movies/?id=loadedweapon1.htm
